Year,JerseyNum,Name,Position,Height,Weight,Major,Class,HomeTownHighSchool
2005,10,Michelle Osier,F,6-1,,,Fr.,"Placerville, CA / Ponderosa HS"
2005,11,Cecily Connor,G,5-8,,,Fr.,"Phoenix, AZ / Xavier College Prep"
2005,12,Kim Buffum,G,5-9,,,Jr.,"San Clemente, CA / San Clemente HS"
2005,13,Meghan McGovern,G,5-8,,,Jr.,"Trabuco Canyon, CA / Trabuco Hills HS"
2005,14,V'Lesha Wilcox,G,5-8,,,R-Fr.,"Friona, TX / Friona HS"
2005,15,Meaghan Noud,F,6-0,,,So.,"Auburn, CA / Bear River HS"
2005,20,Hillary Hansen,F,6-0,,,Jr.,"Pacifica, CA / Notre Dame HS"
2005,21,Katie Anderson,F,5-9,,,Jr.,"Ecsondido, CA / Orange Glen HS"
2005,22,Briana Hinga,F,6-1,,,Jr.,"La Selva, CA / Aptos HS"
2005,23,Diahnn Futalan,C,6-1,,,So.,"La Canada, CA / La Canada HS"
2005,24,Leora Juster,G,5-8,,,Jr.,"Los Angeles, CA / Venice HS"
2005,25,Alexis Mezzetta,F,5-10,,,So.,"Sonoma, CA / Justin-Siena HS"
2005,30,Krystle Flower,C,6-2,,,Jr.,"San Mateo, CA / Burlingame HS"
2005,32,Alexis Gaskin,C,6-2,,,R-Fr.,"Vacaville, CA / Vacaville HS"
2005,33,Kacie Kostlan,F,5-9,,,Jr.,"Poway, CA / Poway HS"
2005,34,Brianna Peters,F,5-10,,,Fr.,"San Lorenzo, CA / Arroyo HS"
2006,10,Michelle Osier,F,6-1,,,So.,"Placerville, CA / Ponderosa HS"
2006,11,Marla Mason,G,5-6,,,Jr.,"Chula Vista, CA / Chula Vista HS"
2006,12,Laura Moore,G,5-6,,,Fr.,"Seal Beach, CA / Huntington Beach HS"
2006,13,Meghan McGovern,G,5-8,,,Sr.,"Trabuco Canyon, CA / Trabuco Hills HS"
2006,14,Cecily Connor,G,5-8,,,R-Fr.,"Phoenix, AZ / Xavier College Prep"
2006,15,Meaghan Noud,F,6-0,,,Jr.,"Auburn, CA / Bear River HS"
2006,20,Hillary Hansen,F,6-0,,,Sr.,"Pacifica, CA / Notre Dame HS"
2006,21,Annette Ilg,G,5-10,,,Fr.,"Avon Lake, OH / Avon Lake HS"
2006,22,Erin Noonan,F,6-0,,,Fr.,"Yorba Linda, CA / Rosary HS"
2006,23,Diahnn Futalan,C,6-1,,,Jr.,"La Canada, CA / La Canada HS"
2006,24,Leora Juster,G,5-8,,,Sr.,"Los Angeles, CA / Venice HS"
2006,25,Alexis Mezzetta,F,5-10,,,Jr.,"Sonoma, CA / Justin-Siena HS"
2006,30,Krystle Flower,C,6-2,,,Jr.,"San Mateo, CA / Burlingame HS"
2006,31,Jillian Ricks,F,6-2,,,Jr.,"Ukiah, CA / Ukiah HS"
2006,32,Alexis Gaskin,C,6-2,,,So.,"Vacaville, CA / Vacaville HS"
2006,33,Kacie Kostlan,G,5-9,,,Sr.,"Poway, CA / Poway HS"
2006,34,Kaycie Bull,G,5-8,,,Jr.,"Orem, UT / Mountain View HS"
2006,35,Kelsey Janusch,G,5-10,,,Fr.,"Novato, CA / Marin Catholic HS"
2006,42,Caitlin Kaupp,F,6-1,,,Fr.,"San Clemente, CA / San Clemente HS"
2007,10,Michelle Osier,F,6-1,,,Jr.,"Placerville, CA / Ponderosa HS"
2007,11,Marla Mason,G,5-6,,,Sr.,"Chula Vista, CA / Chula Vista HS"
2007,12,Laura Moore,G,5-6,,,So.,"Seal Beach, CA / Huntington Beach HS"
2007,13,Shaina Lipa,G,5-5,,,Jr.,"Long Beach, CA / Millikan HS"
2007,14,Cecily Connor,G,5-8,,,So.,"Phoenix, AZ / Xavier College Prep"
2007,15,Meaghan Noud,F,6-0,,,Sr.,"Auburn, CA / Bear River HS"
2007,20,Annette Ilg,G,5-10,,,So.,"Avon Lake, OH / Avon Lake HS"
2007,21,Kaycie Bull,G,5-8,,,Sr.,"Orem, UT / Mountain View HS"
2007,22,Erin Noonan,F,6-0,,,So.,"Yorba Linda, CA / Rosary HS"
2007,23,Diahnn Futalan,C,6-1,,,Sr.,"La Canada, CA / La Canada HS"
2007,25,Alexis Mezzetta,F,5-10,,,Sr.,"Sonoma, CA / Justin-Siena HS"
2007,30,Krystle Flower,C,6-2,,,Sr.,"San Mateo, CA / Burlingame HS"
2007,31,Mollie McIntyre,F,6-0,,,Fr.,"Camarillo, CA / Louisville HS"
2007,32,Alexis Gaskin,C,6-2,,,Sr.,"Vacaville, CA / Vacaville HS"
2007,34,Neyra Valenzuela,F,5-10,,,Fr.,"Los Angeles, CA / Woodrow Wilson HS"
2007,35,Allison Weston,C,6-3,,,Fr.,"San Francisco, CA / Urban School of S.F."
2008,10,Michelle Osier,F,6-1,,,Sr.,"Placerville, CA / Ponderosa HS"
2008,11,Daisy Feder,G,5-7,,,Fr.,"Santa Monica, CA / Santa Monica HS"
2008,12,Magdalena Usher,F,6-0,,,Fr.,"Irvine, CA / University HS"
2008,14,Leilani Martin,G,5-9,,,Jr.,"Palo Alto, CA / "
2008,15,Chelsea Carlisle,G,5-6,,,Fr.,"Agoura Hills, CA / Oaks Christian School"
2008,20,Annette Ilg,G,5-10,,,Jr.,"Avon Lake, OH / Avon Lake HS"
2008,21,Kristen Cabral,F,6-0,,,Jr.,"Fullerton, CA / "
2008,22,Erin Noonan,F,6-0,,,Jr.,"Yorba Linda, CA / Rosary HS"
2008,23,Megan Ehmke,C,6-0,,,Jr.,"Spring Valley, CA / "
2008,24,Jenelle Conklin,G,5-7,,,Jr.,"Santa Maria, CA / "
2008,25,Lauren Freidenberg,C,6-1,,,Fr.,"Seattle, WA / Interlake HS"
2008,30,Lindsey Dreher,F,6-0,,,So.,"Davis, CA / "
