Year,JerseyNum,Name,Position,Height,Weight,Major,Class,HomeTownHighSchool
2005,2,Stacy Johnson,D,5-5,,,So.,"San Diego, CA / La Jolla HS"
2005,3,Kelly Cochran,M,5-6,,,Jr.,"Westlake Village, CA / Westlake HS"
2005,4,Alise Malley,F,5-5,,,Jr.,"Carlsbad, CA / Carlsbad HS"
2005,5,Kelly Mayo,M,5-6,,,Fr.,"Oakland, CA / Bishop O'Dowd HS"
2005,6,Heather Sugg,M,5-10,,,Jr.,"Lake Forest, CA / El Toro HS"
2005,7,Natasha Belak-Berger,F,5-5,,,Fr.,"Thousand Oaks, CA / Thousand Oaks HS"
2005,8,Chelsey Campbell,M,5-6,,,So.,"San Diego, CA / Rancho Bernardo HS"
2005,9,Kathy Sepulveda,F,5-5,,,So.,"Brea, CA / Brea Olinda HS"
2005,10,Megan Dickey,M,5-4,,,Jr.,"Del Mar, CA / Torrey Pines HS"
2005,11,Kristina  De La Rosa,D,5-7,,,Sr.,"San Diego, CA / Rancho Bernardo HS"
2005,12,Lauren Segars,M,5-8,,,So.,"San Diego, CA / University City HS"
2005,13,Alie Avina,D,5-11,,,Jr.,"Somis, CA / Camarillo HS"
2005,14,Rachel Lindenfeld,M,5-5,,,So.,"La Jolla, CA / La Jolla HS"
2005,15,Ali Lai,M,5-3,,,So.,"Danville, CA / Monte Vista HS"
2005,16,Heather Szafraniec,M,5-4,,,Sr.,"Scripps Ranch, CA / Scripps Ranch HS"
2005,17,Amanda Esquivel,M,5-3,,,Fr.,"San Diego, CA / Preuss College Prep"
2005,18,Nicole Pepper,D,5-4,,,So.,"Rcho Santa Margarita, CA / Trabuco Hills HS"
2005,19,Caitlin Ryan,M,5-4,,,So.,"Chula Vista, CA / University HS"
2005,20,Laura Borenstein,M,5-5,,,Fr.,"La Jolla, CA / La Jolla HS"
2005,21,Sereena Warino,M,5-5,,,Jr.,"Aliso Viejo, CA / Aliso Niguel HS"
2005,RS,Lydia Arce,M,5-6,,,Fr.,"Albany, CA / Albany HS"
2005,RS,Caitlin Peluffo,M,5-7,,,Fr.,"San Bruno, CA / Capuchino HS"
2005,RS,Sheela Saninejad,M,5-4,,,Fr.,"Sunnyvale, CA / Homestead HS"
2005,01,Jessica McGovern,GK,5-7,,,Fr.,"Reseda, CA / Chaminade College Prep"
2006,2,Stacy Johnson,D,5-5,,,Jr.,"San Diego, CA / La Jolla HS"
2006,3,Kelly Cochran,M,5-6,,,Sr.,"Westlake Village, CA / Westlake HS"
2006,4,Alise Malley,F,5-5,,,Sr.,"Carlsbad, CA / Carlsbad HS"
2006,5,Kelly Mayo,M,5-6,,,So.,"Oakland, CA / Bishop O'Dowd HS"
2006,6,Heather Sugg,M,5-10,,,Sr.,"Lake Forest, CA / El Toro HS"
