Year,JerseyNum,Name,Position,Height,Weight,Major,Class,HomeTownHighSchool
2006,2,Grace Talbot,G,5-7,,Communications,So.,"Littleton, Colo. / Chatfield Senior HS"
2006,3,Sumayah Sugapong,G,5-7,,Undeclared,Fr.,"San Diego, Calif. / La Jolla Country Day"
2006,5,Gabby Louther,G,5-11,,Undeclared,So.,"Pueblo West, Colo. / Pueblo West HS"
2006,11,Erin Condron,F/C,6-4,,Human Biology,Fr.,"Woodend, Victoria, Australia / Braemar College"
2006,12,Rosa Smith,G,5-7,,Human Developmental Sciences,So.,"Kirkland, Wash. / Lake Washington HS"
2006,13,Meaali‘i Amosa,F,6-1,,Communications,Jr.,"Garden Grove, Calif. / Mater Dei HS"
2006,20,Izzy Forsyth,G,6-0,,Communications,Jr.,"Vancouver, BC / Semiahmoo Secondary School"
2006,22,Gracie Gallegos,G,6-1,,Undeclared,R-Fr.,"Denver, Colo. / Mullen HS"
2006,23,Eri Blithikioti,G,5-11,,Undeclared,Fr.,"Athens, Greece / American Community Schools of Athens (ACS Athens)"
2006,24,Denali Pinto,G,6-0,,Finance,Gr.,"Boulder, Colo. / Fairview HS"
2006,25,Junae Mahan,G,5-8,,Undeclared,So.,"Stockton, Calif. / Lincoln HS"
2006,30,Damilola Sule,F,6-0,,Cognitive Science,Jr.,"Bakersfield, Calif. / Bakersfield Christian HS"
2006,32,Parker Montgomery,G,5-7,,Business Economics,Sr.,"Porter Ranch, Calif. / Marlborough HS"
2006,33,Emma Svoboda,C,6-3,,Human Developmental Sciences,Jr.,"La Quinta, Calif. / La Quinta HS"
2006,35,Katie Springs,C,6-0,,Political Science: Pre-Law,Jr.,"San Jose, Calif. / Archbishop Mitty HS"
2007,2,Grace Talbot,G,5-7,,Communications,So.,"Littleton, Colo. / Chatfield Senior HS"
2007,3,Sumayah Sugapong,G,5-7,,Undeclared,Fr.,"San Diego, Calif. / La Jolla Country Day"
2007,5,Gabby Louther,G,5-11,,Undeclared,So.,"Pueblo West, Colo. / Pueblo West HS"
2007,11,Erin Condron,F/C,6-4,,Human Biology,Fr.,"Woodend, Victoria, Australia / Braemar College"
2007,12,Rosa Smith,G,5-7,,Human Developmental Sciences,So.,"Kirkland, Wash. / Lake Washington HS"
2007,13,Meaali‘i Amosa,F,6-1,,Communications,Jr.,"Garden Grove, Calif. / Mater Dei HS"
2007,20,Izzy Forsyth,G,6-0,,Communications,Jr.,"Vancouver, BC / Semiahmoo Secondary School"
2007,22,Gracie Gallegos,G,6-1,,Undeclared,R-Fr.,"Denver, Colo. / Mullen HS"
2007,23,Eri Blithikioti,G,5-11,,Undeclared,Fr.,"Athens, Greece / American Community Schools of Athens (ACS Athens)"
2007,24,Denali Pinto,G,6-0,,Finance,Gr.,"Boulder, Colo. / Fairview HS"
2007,25,Junae Mahan,G,5-8,,Undeclared,So.,"Stockton, Calif. / Lincoln HS"
2007,30,Damilola Sule,F,6-0,,Cognitive Science,Jr.,"Bakersfield, Calif. / Bakersfield Christian HS"
2007,32,Parker Montgomery,G,5-7,,Business Economics,Sr.,"Porter Ranch, Calif. / Marlborough HS"
2007,33,Emma Svoboda,C,6-3,,Human Developmental Sciences,Jr.,"La Quinta, Calif. / La Quinta HS"
2007,35,Katie Springs,C,6-0,,Political Science: Pre-Law,Jr.,"San Jose, Calif. / Archbishop Mitty HS"
2008,2,Grace Talbot,G,5-7,,Communications,So.,"Littleton, Colo. / Chatfield Senior HS"
2008,3,Sumayah Sugapong,G,5-7,,Undeclared,Fr.,"San Diego, Calif. / La Jolla Country Day"
2008,5,Gabby Louther,G,5-11,,Undeclared,So.,"Pueblo West, Colo. / Pueblo West HS"
2008,11,Erin Condron,F/C,6-4,,Human Biology,Fr.,"Woodend, Victoria, Australia / Braemar College"
2008,12,Rosa Smith,G,5-7,,Human Developmental Sciences,So.,"Kirkland, Wash. / Lake Washington HS"
2008,13,Meaali‘i Amosa,F,6-1,,Communications,Jr.,"Garden Grove, Calif. / Mater Dei HS"
2008,20,Izzy Forsyth,G,6-0,,Communications,Jr.,"Vancouver, BC / Semiahmoo Secondary School"
2008,22,Gracie Gallegos,G,6-1,,Undeclared,R-Fr.,"Denver, Colo. / Mullen HS"
2008,23,Eri Blithikioti,G,5-11,,Undeclared,Fr.,"Athens, Greece / American Community Schools of Athens (ACS Athens)"
2008,24,Denali Pinto,G,6-0,,Finance,Gr.,"Boulder, Colo. / Fairview HS"
2008,25,Junae Mahan,G,5-8,,Undeclared,So.,"Stockton, Calif. / Lincoln HS"
2008,30,Damilola Sule,F,6-0,,Cognitive Science,Jr.,"Bakersfield, Calif. / Bakersfield Christian HS"
2008,32,Parker Montgomery,G,5-7,,Business Economics,Sr.,"Porter Ranch, Calif. / Marlborough HS"
2008,33,Emma Svoboda,C,6-3,,Human Developmental Sciences,Jr.,"La Quinta, Calif. / La Quinta HS"
2008,35,Katie Springs,C,6-0,,Political Science: Pre-Law,Jr.,"San Jose, Calif. / Archbishop Mitty HS"
2009,2,Grace Talbot,G,5-7,,Communications,So.,"Littleton, Colo. / Chatfield Senior HS"
2009,3,Sumayah Sugapong,G,5-7,,Undeclared,Fr.,"San Diego, Calif. / La Jolla Country Day"
2009,5,Gabby Louther,G,5-11,,Undeclared,So.,"Pueblo West, Colo. / Pueblo West HS"
2009,11,Erin Condron,F/C,6-4,,Human Biology,Fr.,"Woodend, Victoria, Australia / Braemar College"
2009,12,Rosa Smith,G,5-7,,Human Developmental Sciences,So.,"Kirkland, Wash. / Lake Washington HS"
2009,13,Meaali‘i Amosa,F,6-1,,Communications,Jr.,"Garden Grove, Calif. / Mater Dei HS"
2009,20,Izzy Forsyth,G,6-0,,Communications,Jr.,"Vancouver, BC / Semiahmoo Secondary School"
2009,22,Gracie Gallegos,G,6-1,,Undeclared,R-Fr.,"Denver, Colo. / Mullen HS"
2009,23,Eri Blithikioti,G,5-11,,Undeclared,Fr.,"Athens, Greece / American Community Schools of Athens (ACS Athens)"
2009,24,Denali Pinto,G,6-0,,Finance,Gr.,"Boulder, Colo. / Fairview HS"
2009,25,Junae Mahan,G,5-8,,Undeclared,So.,"Stockton, Calif. / Lincoln HS"
2009,30,Damilola Sule,F,6-0,,Cognitive Science,Jr.,"Bakersfield, Calif. / Bakersfield Christian HS"
2009,32,Parker Montgomery,G,5-7,,Business Economics,Sr.,"Porter Ranch, Calif. / Marlborough HS"
2009,33,Emma Svoboda,C,6-3,,Human Developmental Sciences,Jr.,"La Quinta, Calif. / La Quinta HS"
2009,35,Katie Springs,C,6-0,,Political Science: Pre-Law,Jr.,"San Jose, Calif. / Archbishop Mitty HS"
2010,2,Grace Talbot,G,5-7,,Communications,So.,"Littleton, Colo. / Chatfield Senior HS"
2010,3,Sumayah Sugapong,G,5-7,,Undeclared,Fr.,"San Diego, Calif. / La Jolla Country Day"
2010,5,Gabby Louther,G,5-11,,Undeclared,So.,"Pueblo West, Colo. / Pueblo West HS"
2010,11,Erin Condron,F/C,6-4,,Human Biology,Fr.,"Woodend, Victoria, Australia / Braemar College"
2010,12,Rosa Smith,G,5-7,,Human Developmental Sciences,So.,"Kirkland, Wash. / Lake Washington HS"
2010,13,Meaali‘i Amosa,F,6-1,,Communications,Jr.,"Garden Grove, Calif. / Mater Dei HS"
2010,20,Izzy Forsyth,G,6-0,,Communications,Jr.,"Vancouver, BC / Semiahmoo Secondary School"
2010,22,Gracie Gallegos,G,6-1,,Undeclared,R-Fr.,"Denver, Colo. / Mullen HS"
2010,23,Eri Blithikioti,G,5-11,,Undeclared,Fr.,"Athens, Greece / American Community Schools of Athens (ACS Athens)"
2010,24,Denali Pinto,G,6-0,,Finance,Gr.,"Boulder, Colo. / Fairview HS"
2010,25,Junae Mahan,G,5-8,,Undeclared,So.,"Stockton, Calif. / Lincoln HS"
2010,30,Damilola Sule,F,6-0,,Cognitive Science,Jr.,"Bakersfield, Calif. / Bakersfield Christian HS"
2010,32,Parker Montgomery,G,5-7,,Business Economics,Sr.,"Porter Ranch, Calif. / Marlborough HS"
2010,33,Emma Svoboda,C,6-3,,Human Developmental Sciences,Jr.,"La Quinta, Calif. / La Quinta HS"
2010,35,Katie Springs,C,6-0,,Political Science: Pre-Law,Jr.,"San Jose, Calif. / Archbishop Mitty HS"
2011,2,Grace Talbot,G,5-7,,Communications,So.,"Littleton, Colo. / Chatfield Senior HS"
2011,3,Sumayah Sugapong,G,5-7,,Undeclared,Fr.,"San Diego, Calif. / La Jolla Country Day"
2011,5,Gabby Louther,G,5-11,,Undeclared,So.,"Pueblo West, Colo. / Pueblo West HS"
2011,11,Erin Condron,F/C,6-4,,Human Biology,Fr.,"Woodend, Victoria, Australia / Braemar College"
2011,12,Rosa Smith,G,5-7,,Human Developmental Sciences,So.,"Kirkland, Wash. / Lake Washington HS"
2011,13,Meaali‘i Amosa,F,6-1,,Communications,Jr.,"Garden Grove, Calif. / Mater Dei HS"
2011,20,Izzy Forsyth,G,6-0,,Communications,Jr.,"Vancouver, BC / Semiahmoo Secondary School"
2011,22,Gracie Gallegos,G,6-1,,Undeclared,R-Fr.,"Denver, Colo. / Mullen HS"
2011,23,Eri Blithikioti,G,5-11,,Undeclared,Fr.,"Athens, Greece / American Community Schools of Athens (ACS Athens)"
2011,24,Denali Pinto,G,6-0,,Finance,Gr.,"Boulder, Colo. / Fairview HS"
2011,25,Junae Mahan,G,5-8,,Undeclared,So.,"Stockton, Calif. / Lincoln HS"
2011,30,Damilola Sule,F,6-0,,Cognitive Science,Jr.,"Bakersfield, Calif. / Bakersfield Christian HS"
2011,32,Parker Montgomery,G,5-7,,Business Economics,Sr.,"Porter Ranch, Calif. / Marlborough HS"
2011,33,Emma Svoboda,C,6-3,,Human Developmental Sciences,Jr.,"La Quinta, Calif. / La Quinta HS"
2011,35,Katie Springs,C,6-0,,Political Science: Pre-Law,Jr.,"San Jose, Calif. / Archbishop Mitty HS"
2012,2,Grace Talbot,G,5-7,,Communications,So.,"Littleton, Colo. / Chatfield Senior HS"
2012,3,Sumayah Sugapong,G,5-7,,Undeclared,Fr.,"San Diego, Calif. / La Jolla Country Day"
2012,5,Gabby Louther,G,5-11,,Undeclared,So.,"Pueblo West, Colo. / Pueblo West HS"
2012,11,Erin Condron,F/C,6-4,,Human Biology,Fr.,"Woodend, Victoria, Australia / Braemar College"
2012,12,Rosa Smith,G,5-7,,Human Developmental Sciences,So.,"Kirkland, Wash. / Lake Washington HS"
2012,13,Meaali‘i Amosa,F,6-1,,Communications,Jr.,"Garden Grove, Calif. / Mater Dei HS"
2012,20,Izzy Forsyth,G,6-0,,Communications,Jr.,"Vancouver, BC / Semiahmoo Secondary School"
2012,22,Gracie Gallegos,G,6-1,,Undeclared,R-Fr.,"Denver, Colo. / Mullen HS"
2012,23,Eri Blithikioti,G,5-11,,Undeclared,Fr.,"Athens, Greece / American Community Schools of Athens (ACS Athens)"
2012,24,Denali Pinto,G,6-0,,Finance,Gr.,"Boulder, Colo. / Fairview HS"
2012,25,Junae Mahan,G,5-8,,Undeclared,So.,"Stockton, Calif. / Lincoln HS"
2012,30,Damilola Sule,F,6-0,,Cognitive Science,Jr.,"Bakersfield, Calif. / Bakersfield Christian HS"
2012,32,Parker Montgomery,G,5-7,,Business Economics,Sr.,"Porter Ranch, Calif. / Marlborough HS"
2012,33,Emma Svoboda,C,6-3,,Human Developmental Sciences,Jr.,"La Quinta, Calif. / La Quinta HS"
2012,35,Katie Springs,C,6-0,,Political Science: Pre-Law,Jr.,"San Jose, Calif. / Archbishop Mitty HS"
2013,2,Grace Talbot,G,5-7,,Communications,So.,"Littleton, Colo. / Chatfield Senior HS"
2013,3,Sumayah Sugapong,G,5-7,,Undeclared,Fr.,"San Diego, Calif. / La Jolla Country Day"
2013,5,Gabby Louther,G,5-11,,Undeclared,So.,"Pueblo West, Colo. / Pueblo West HS"
