Year,JerseyNum,Name,Position,Height,Weight,Major,Class,HomeTownHighSchool
2006,2,Damian Fante,OF,5-10,,,Sr.,"Thousand Oaks, CA / Thousand Oaks HS"
2006,3,Matt Lawson,OF,6-1,,,Sr.,"Yorba Linda, CA / Esperanza HS"
2006,4,David Gomez,OF,5-8,,,Sr.,"Orange, CA / Mater Dei HS"
2006,6,Jonathan Erickson,IF,6-0,,,Jr.,"Tustin, CA / Foothill HS"
2006,8,David Morehead,C/1B,5-10,,,Jr.,"San Diego, CA / Rancho Bernardo HS"
2006,9,Dusty Destler,2B,5-10,,,Sr.,"Woodland Hills, CA / El Camino Real HS"
2006,11,John Roth,2B,6-0,,,Jr.,"Coto de Caza, CA / Santa Margarita HS"
2006,15,Josh Tanner,2B/SS,5-9,,,Fr.,"El Dorado Hills, CA / Ponderosa HS"
2006,16,Evan McDonald,RHP,6-0,,,Sr.,"Petaluma, CA / Petaluma HS"
2006,18,Garrett Imeson,2B,5-9,,,Fr.,"Stockton, CA / Lincoln HS"
2006,22,Byron Grubman,RHP,5-10,,,Sr.,"North Hollywood, CA / Cleveland HS"
2006,23,T.C. Geach,RHP,6-0,,,Sr.,"San Clemente, CA / St. Margaret's HS"
2006,24,Bryan Silverman,C/OF,6-2,,,Jr.,"Sunnyvale, CA / Homestead HS"
2006,25,Derek Barham,RHP,6-4,,,Fr.,"Fresno, CA / Bullard HS"
2006,26,Todd Gimenez,LHP,6-0,,,Jr.,"Gilroy, CA / Gilroy HS"
2006,27,Michael Kearney,RHP,6-4,,,Jr.,"San Marcos, CA / San Marcos HS"
2006,28,Tim Mort,2B,6-0,,,Fr.,"Santa Clara, CA / Santa Clara HS"
2006,30,Trevor Decker,RHP,6-2,,,Fr.,"Palo Cedro, CA / Foothill HS"
2006,33,Brendan Kruse,UT,6-1,,,Sr.,"Sonora, CA / Sonora HS"
2006,34,Jose Navarro,LHP,6-0,,,Sr.,"San Diego, CA / Mt. Carmel HS"
2006,44,Matt Cantele,UT,6-0,,,Fr.,"Los Altos Hills, CA / Saint Francis HS"
2007,2,Josh Tanner,2B/SS,5-10,175,,So.,"El Dorado Hills, CA / Ponderosa HS"
2007,3,Jonathan Erickson,SS/3B,6-1,180,,Sr.,"Tustin, CA / Foothill HS"
2007,4,Matt Lawson,OF,6-1,195,,Sr.,"Yorba Linda, CA / Esperanza HS"
2007,5,Tony Bonelli,SS,5-8,160,,Jr.,"Calabasas, CA / "
2007,8,David Morehead,C,5-10,190,,Sr.,"San Diego, CA / Rancho Bernardo HS"
2007,9,Tim Mort,RHP/OF,5-11,185,,So.,"Santa Clara, CA / Santa Clara HS"
2007,10,Vance Albitz,SS/OF,5-8,150,,Fr.,"Torrance, CA / South Torrance HS"
2007,11,John Roth,2B/OF,6-0,185,,Sr.,"Coto de Caza, CA / Santa Margarita HS"
2007,18,Garrett Imeson,IF,5-10,180,,So.,"Stockton, CA / Lincoln HS"
2007,19,Chris Franco,1B/3B,6-4,185,,Jr.,"Chatsworth, CA / "
2007,20,Buck Wright,OF,5-11,180,,Jr.,"Los Gatos, CA / "
2007,23,Nick Rodieck,RHP,6-2,180,,Jr.,"San DIego, CA / "
2007,24,Bryan Silverman,C/OF,6-2,210,,Sr.,"Sunnyvale, CA / Homestead HS"
2007,25,Derek Barham,1B/3B,6-4,225,,So.,"Fresno, CA / Bullard HS"
2007,26,Todd Gimenez,LHP,6-0,190,,Sr.,"Gilroy, CA / Gilroy HS"
