Year,JerseyNum,Name,Position,Height,Weight,Major,Class,HomeTownHighSchool
2005,10,Mike Bakal,G,6-1,,,R-Fr.,"Piedmont, CA / Piedmont HS"
2005,11,Jason Bull,G,6-1,,,So.,"Pleasanton, CA / Amador Valley HS"
2005,12,Evan Demkiw,G,6-4,,,Jr.,"Carlsbad, CA / La Costa Canyon HS"
2005,14,Andrew Hatch,G,6-2,,,So.,"Chino Hills, CA / Ayala HS"
2005,21,Darryl Lawlor,F,6-5,,,Fr.,"Yorba Linda, CA / Esperanza HS"
2005,22,Daniel Trautman,F,6-6,,,Fr.,"Redwood City, CA / Menlo-Atherton HS"
2005,23,Odioh Odiye,G,6-0,,,Sr.,"San Francisco, CA / Sacred Heart Prep"
2005,24,Shane Poppen,G,6-4,,,Fr.,"Thousand Oaks, CA / Thousand Oaks HS"
2005,30,Drew Spaventa,G,6-3,,,So.,"Santa Barbara, CA / San Marcos HS"
2005,32,Clint Allard,G,6-1,,,So.,"San Jose, CA / Archbishop Mitty HS"
2005,33,Eric Berman,G,6-3,,,Fr.,"Menlo Park, CA / Woodside HS"
2005,34,Zack Craddock,F,6-6,,,Jr.,"Porterville, CA / Munache HS"
2005,35,Henry Patterson,F,6-5,,,Fr.,"Oxnard, CA / Oxnard HS"
2005,42,Justin Sinnott,C,6-8,,,Jr.,"Chico, CA / Pleasant Valley HS"
2005,44,Robby Peters,G,6-3,,,Jr.,"San Mateo, CA / Hillsdale HS"
2005,52,A.J. Maulhardt,C,6-8,,,Fr.,"Ojai, CA / Nordhoff HS"
2006,10,Jordan Lawley,G,6-4,,,Fr.,"Lodi, CA / Tokay HS"
2006,11,Kelvin Kim,G,5-10,,,So.,"Lake Forest, CA / "
2006,12,Evan Demkiw,G,6-4,,,Sr.,"Carlsbad, CA / La Costa Canyon HS"
2006,14,Andrew Hatch,G,6-2,,,Jr.,"Chino Hills, CA / Ayala HS"
2006,20,Alan Husted,G,6-1,,,So.,"Canyon Country, CA / Valencia HS"
2006,21,Darryl Lawlor,F,6-5,,,So.,"Yorba Linda, CA / Esperanza HS"
2006,22,Daniel Trautman,F,6-6,,,R-Fr.,"Redwood City, CA / Menlo-Atherton HS"
2006,23,Casey Ryan,G,6-4,,,Fr.,"Jackson, CA / Argonaut HS"
2006,24,Shane Poppen,G,6-4,,,So.,"Thousand Oaks, CA / Thousand Oaks HS"
2006,30,Tyler Acevedo,G,6-0,,,Fr.,"Agoura Hills, CA / Agoura HS"
2006,32,Clint Allard,G,6-1,,,Jr.,"San Jose, CA / Archbishop Mitty HS"
2006,33,Jon Ward,G,6-5,,,Jr.,"Phoenix, AZ / Paradise Valley HS"
2006,34,Andrew Browning,F,6-7,,,Fr.,"El Dorado Hills, CA / Oak Ridge HS"
2006,35,Henry Patterson,F,6-5,,,So.,"Oxnard, CA / Oxnard HS"
2006,42,Brett Stuckey,F,6-6,,,Jr.,"Olympia, WA / "
2006,44,Robby Peters,G,6-3,,,Sr.,"San Mateo, CA / Hillsdale HS"
2006,52,A.J. Maulhardt,C,6-8,,,So.,"Ojai, CA / Nordhoff HS"
2007,10,Alan Husted,G,6-1,,,Jr.,"Canyon Country, CA / Valencia HS"
2007,11,Kelvin Kim,G,5-10,,,Jr.,"Lake Forest, CA / "
2007,12,Jordan Lawley,G,6-4,,,So.,"Lodi, CA / Tokay HS"
2007,14,Andrew Hatch,G,6-2,,,Jr.,"Chino Hills, CA / Ayala HS"
2007,20,Bryce Alvari,G,6-2,,,Fr.,"Pleasanton, CA / Foothill HS"
2007,21,Darryl Lawlor,F,6-5,,,Jr.,"Yorba Linda, CA / Esperanza HS"
2007,22,Tyler Acevedo,G,6-0,,,So.,"Agoura Hills, CA / Agoura HS"
2007,23,Casey Ryan,G,6-4,,,R-Fr.,"Jackson, CA / Argonaut HS"
2007,24,Shane Poppen,G,6-4,,,Jr.,"Thousand Oaks, CA / Thousand Oaks HS"
2007,30,Jason Bull,G,6-0,,,Sr.,"Pleasanton, CA / Amador Valley HS"
2007,32,Clint Allard,G,6-1,,,Sr.,"San Jose, CA / Archbishop Mitty HS"
2007,33,Patrick Dreith,F,6-6,,,Jr.,"San Mateo, CA / "
2007,34,Andrew Browning,F,6-7,,,So.,"El Dorado Hills, CA / Oak Ridge HS"
2007,35,Henry Patterson,F,6-5,,,Jr.,"Oxnard, CA / Oxnard HS"
2007,42,Brett Stuckey,F,6-6,,,Sr.,"Olympia, WA / "
2007,44,Jon Ward,G,6-5,,,Sr.,"Phoenix, AZ / Paradise Valley HS"
2007,52,A.J. Maulhardt,C,6-8,,,Jr.,"Ojai, CA / Nordhoff HS"
2008,10,Alan Husted,G,6-1,,,Sr.,"Canyon Country, CA / Valencia HS"
2008,11,Kelvin Kim,G,5-10,,,Sr.,"Lake Forest, CA / "
2008,12,Jordan Lawley,G,6-4,,,Jr.,"Lodi, CA / Tokay HS"
2008,13,Jay Wey,G,6-0,,,Fr.,"Cupertino, CA / Archbishop Mitty HS"
2008,14,Bryce Alvari,G,6-3,,,R-Fr.,"Pleasanton, CA / Foothill HS"
2008,15,Ryan Merkle,G,6-1,,,Fr.,"Granada Hills, CA / Harvard-Westlake HS"
2008,21,Darryl Lawlor,F,6-5,,,Sr.,"Yorba Linda, CA / Esperanza HS"
2008,22,Tyler Acevedo,G,6-0,,,Jr.,"Agoura Hills, CA / Agoura HS"
2008,23,Casey Ryan,G,6-4,,,So.,"Jackson, CA / Argonaut HS"
2008,24,Shane Poppen,G,6-4,,,Sr.,"Thousand Oaks, CA / Thousand Oaks HS"
2008,25,Scott Krizman,G,6-4,,,Fr.,"Auburn, CA / Colfax HS"
2008,32,Kirby Ruiz,G,5-10,,,Fr.,"Temecula, CA / Temecula Valley HS"
2008,33,Patrick Dreith,F,6-6,,,Sr.,"San Mateo, CA / "
2008,34,Andrew Browning,F,6-7,,,Jr.,"El Dorado Hills, CA / Oak Ridge HS"
2008,42,Brett Stuckey,F,6-6,,,R-Sr.,"Olympia, WA / "
2008,44,Ryan Wheeler,F/C,6-9,,,Fr.,"Sebastopol, CA / Analy HS"
2008,45,Christian Hatch,F/C,6-8,,,Fr.,"Henderson, NV / Coronado HS"
2008,52,A.J. Maulhardt,C,6-8,,,Sr.,"Ojai, CA / Nordhoff HS"
2009,10,Jay Wey,G,6-0,,,So.,"Cupertino, CA / Archbishop Mitty HS"
2009,11,Jake Tarabilda,G,5-11,,,Fr.,"Murrieta, CA / Murrieta Valley HS"
2009,12,Jordan Lawley,G,6-4,,,Sr.,"Lodi, CA / Tokay HS"
2009,14,Bryce Alvari,G,6-3,,,So.,"Pleasanton, CA / Foothill HS"
2009,20,Justin Brue,F,6-4,,,Fr.,"Hayward, CA / Bishop O'Dowd HS"
2009,21,Nathan Murphy,G,6-4,,,Fr.,"Mesa, AZ / Mountain View HS"
2009,22,Tyler Acevedo,G,6-0,,,Sr.,"Agoura Hills, CA / Agoura HS"
2009,23,Casey Ryan,G,6-4,,,Jr.,"Jackson, CA / Argonaut HS"
2009,24,Tyler McGrath,G,6-2,,,Fr.,"Camarillo, CA / Oaks Christian HS"
2009,30,Colin Porter,F/C,6-6,,,Fr.,"San Diego, CA / Torrey Pines HS"
2009,32,Kirby Ruiz,G,5-10,,,So.,"Temecula, CA / Temecula Valley HS"
2009,33,Elliott Clark,G,6-0,,,Fr.,"Gilbert, AZ / Gilbert HS"
2009,34,Andrew Browning,F/C,6-7,,,R-Jr.,"El Dorado Hills, CA / Oak Ridge HS"
2009,35,Dylan Bohanan,G/F,6-5,,,Fr.,"Murrieta, CA / Murrieta Valley HS"
2009,42,Christian Hatch,C,6-8,,,So.,"Henderson, NV / Coronado HS"
2009,44,Ryan Wheeler,C,6-9,,,So.,"Sebastopol, CA / Analy HS"
2010,10,James McCann,G,5-10,,,Fr.,"Carlsbad, CA / La Costa Canyon HS"
2010,11,MacKenzie McCullough,G/F,6-4,,,Fr.,"Sacramento, CA / Jesuit HS"
2010,12,Tyler McGrath,G,6-2,,,So.,"Camarillo, CA / Oaks Christian HS"
2010,13,Matt Bailey,G,5-10,,,Fr.,"Mission Viejo, CA / Tesoro HS"
2010,14,Bryce Alvari,G,6-3,,,Jr.,"Pleasanton, CA / Foothill HS"
2010,15,Mike Meza,F,6-5,,,Jr.,"Simi Valley, CA / "
2010,20,Justin Brue,F,6-4,,,So.,"Hayward, CA / Bishop O'Dowd HS"
2010,22,Brandon Blanchard,F/C,6-8,,,Fr.,"Rancho Santa Margarita, CA / Santa Margarita HS"
2010,23,Casey Ryan,G,6-4,,,Sr.,"Jackson, CA / Argonaut HS"
2010,25,Ryan Peters,G,6-3,,,So.,"Santa Clarita, CA / Northfield Mount Hermon HS"
2010,30,Colin Porter,F/C,6-6,,,So.,"San Diego, CA / Torrey Pines HS"
2010,32,Kirby Ruiz,G,5-10,,,Jr.,"Temecula, CA / Temecula Valley HS"
2010,35,Dylan Bohanan,G/F,6-5,,,So.,"Murrieta, CA / Murrieta Valley HS"
2010,42,Christian Hatch,C,6-8,,,Jr.,"Henderson, NV / Coronado HS"
2010,44,Ryan Wheeler,C,6-9,,,Jr.,"Sebastopol, CA / Analy HS"
2011,10,James McCann,G,5-11,,,So.,"Carlsbad, CA / La Costa Canyon HS"
2011,11,MacKenzie McCullough,G/F,6-4,,,So.,"Sacramento, CA / Jesuit HS"
2011,12,Tyler McGrath,G,6-3,,,Jr.,"Camarillo, CA / Oaks Christian HS"
2011,13,Matt Bailey,G,5-10,,,So.,"Mission Viejo, CA / Tesoro HS"
2011,14,Dylan Bohanan,G/F,6-5,,,R-So.,"Murrieta, CA / Murrieta Valley HS"
2011,15,Mike Meza,F,6-5,,,Sr.,"Simi Valley, CA / "
2011,20,Justin Brue,F,6-5,,,Jr.,"Hayward, CA / Bishop O'Dowd HS"
2011,21,Michael Robinson,G,6-3,,,Fr.,"Riverside, CA / Patriot HS"
2011,22,Brandon Blanchard,F/C,6-8,,,R-Fr.,"Rancho Santa Margarita, CA / Santa Margarita HS"
2011,23,Mark Tarabilda,G,6-1,,,Fr.,"Murrieta, CA / Murrieta Valley HS"
2011,25,Ryan Peters,G,6-4,,,Jr.,"Santa Clarita, CA / Northfield Mount Hermon HS"
2011,30,Colin Porter,F/C,6-6,,,Jr.,"San Diego, CA / Torrey Pines HS"
2011,42,Christian Hatch,C,6-8,,,Sr.,"Henderson, NV / Coronado HS"
2011,44,Ryan Wheeler,C,6-10,,,Sr.,"Sebastopol, CA / Analy HS"
2012,10,James McCann,G,5-11,,,Jr.,"Carlsbad, CA / La Costa Canyon HS"
2012,11,MacKenzie McCullough,G/F,6-4,,,Jr.,"Sacramento, CA / Jesuit HS"
2012,12,Tyler McGrath,G,6-2,,,Sr.,"Camarillo, CA / Oaks Christian HS"
2012,13,Matt Bailey,G,5-11,,,Jr.,"Mission Viejo, CA / Tesoro HS"
2012,14,Drew Dyer,F,6-6,,,Fr.,"Aurora, CO / Regis Jesuit HS"
2012,15,Aleks Lipovic,G,6-4,,,Fr.,"Capistrano Beach, CA / Capistrano Valley HS"
2012,20,Justin Brue,F,6-5,,,Sr.,"Hayward, CA / Bishop O'Dowd HS"
2012,21,Michael Robinson,G,6-3,,,Rs.,"Riverside, CA / Patriot HS"
2012,22,Brandon Blanchard,C/F,6-8,,,So.,"Rancho Santa Margarita, CA / Santa Margarita HS"
2012,23,Hunter Walker,G/F,6-4,,,Fr.,"Santa Maria, CA / Righetti HS"
2012,24,Treavon Francis,G,6-4,,,Fr.,"Covina, CA / Northview HS"
2012,25,Ryan Peters,G,6-4,,,Sr.,"Santa Clarita, CA / Northfield Mount Hermon HS"
2012,30,Colin Porter,F/C,6-6,,,Sr.,"San Diego, CA / Torrey Pines HS"
2012,33,Zach McMillan,C/F,6-7,,,Fr.,"Santa Monica, CA / Westchester HS"
2013,10,James McCann,G,5-11,,,Sr.,"Carlsbad, CA / La Costa Canyon HS"
2013,11,MacKenzie McCullough,G/F,6-4,,,Sr.,"Sacramento, CA / Jesuit HS"
2013,12,Adam Klie,G,6-4,,,Fr.,"Anchorage, AK / Service HS"
2013,13,Matt Bailey,G,5-11,,,Sr.,"Mission Viejo, CA / Tesoro HS"
2013,14,Drew Dyer,F,6-6,,,So.,"Aurora, CO / Regis Jesuit HS"
2013,15,Aleks Lipovic,G,6-4,,,R-Fr.,"Capistrano Beach, CA / Capistrano Valley HS"
2013,20,Duke Doulphus,F,6-6,,,Fr.,"Fresno, CA / Edison HS"
2013,21,Michael Robinson,G,6-3,,,So.,"Riverside, CA / Patriot HS"
2013,23,Hunter Walker,G/F,6-4,,,So.,"Santa Maria, CA / Righetti HS"
2013,24,Treavon Francis,G,6-4,,,So.,"Covina, CA / Northview HS"
2013,30,Darryl Wong,G,6-3,,,Jr.,"San Bruno, CA / Mills HS"
2013,33,Zach McMillan,C/F,6-7,,,So.,"Santa Monica, CA / Westchester HS"
2014,1,Aleks Lipovic,G,6-4,,,So.,"Capistrano Beach, CA / Capistrano Valley HS"
2014,2,Grant Jackson,G,6-1,,,Fr.,"Danville, CA / Monte Vista HS"
2014,4,Jeff Van Dyke,G,6-2,,,So.,"Carlsbad, CA / La Costa Canyon HS"
2014,5,George Buaku,G,6-3,,,Fr.,"Lake Forest, CA / El Toro HS"
2014,11,Jordan Flannery,G/F,6-5,,,Fr.,"Newbury Park, CA / Oaks Christian School"
2014,13,Adam Klie,G,6-4,,,So.,"Anchorage, AK / Service HS"
2014,14,Drew Dyer,F,6-6,,,Jr.,"Aurora, CO / Regis Jesuit HS"
2014,21,Brett Oosdyke,F,6-7,,,Fr.,"Coto de Caza, CA / Santa Margarita Catholic HS"
2014,22,Chase Ogden,F,6-4,,,Fr.,"Carlsbad, CA / Carlsbad HS"
2014,23,Hunter Walker,G/F,6-4,,,Jr.,"Santa Maria, CA / Righetti HS"
