Year,JerseyNum,Name,Position,Height,Weight,Major,Class,HomeTownHighSchool
2006,0,Camden McCormick,G,6-3,190,International Business,So.,"San Diego, Calif. / Francis W. Parker School"
2006,2,Michael Pearson Jr.,G,5-9,160,Public Health,R-So.,"Tracy, Calif. / Modesto Christian HS"
2006,3,Justin DeGraaf,F,6-7,210,Math - Computer Science,Jr.,"Hudsonville, Mich. / Bosco Institute"
2006,4,Bryce Pope,G,6-3,185,Real Estate and Development,R-Sr.,"San Diego, Calif. / Torrey Pines HS"
2006,5,Cade Pendleton,F,6-10,210,International Business,R-Fr.,"Chattanooga, Tenn. / East Hamilton HS"
2006,10,Hayden Gray,G,6-4,190,International Business,Jr.,"San Diego, Calif. / Santa Fe Christian"
2006,11,Jasen Brooks,G,6-0,195,Business Economics,Fr.,"Cleveland, Tenn. / Cleveland HS"
2006,12,Aniwaniwa Tait-Jones,G/F,6-6,200,Communications,Jr.,"Wellington, New Zealand / St. Patrick's College"
2006,13,Tyler  McGhie,G/F,6-5,195,Communications,Jr.,"Denton, Texas / Guyer HS"
2006,14,Billy Haggerty,F,6-6,185,International Business,Fr.,"Lafayette, Calif. / De La Salle HS"
2006,15,Quin Patterson,G/F,6-7,205,,So.,"Snoqualmie, Wash. / Mount Si HS"
2006,20,Aidan Burke,G,6-3,190,Economics,Fr.,"Los Gatos, Calif. / Phillips Exeter Academy"
2006,22,Yaqub Mir,G,6-2,175,Data Science,Fr.,"Granite Bay, Calif. / Granite Bay HS"
2006,25,Emmanuel Tshimanga,C,7-0,270,Sociology,R-Sr.,"Montreal, Quebec / Bella Vista Prep (Ariz.)"
2006,33,J'Raan  Brooks,F,6-9,215,Ethnic Studies,R-Sr.,"Seattle, Wash. / Garfield HS"
2006,35,Francis Nwaokorie,F,6-7,220,Public Health,Jr.,"Brooklyn Park, Minn. / Champlin Park HS"
2007,0,Camden McCormick,G,6-3,190,International Business,So.,"San Diego, Calif. / Francis W. Parker School"
2007,2,Michael Pearson Jr.,G,5-9,160,Public Health,R-So.,"Tracy, Calif. / Modesto Christian HS"
2007,3,Justin DeGraaf,F,6-7,210,Math - Computer Science,Jr.,"Hudsonville, Mich. / Bosco Institute"
2007,4,Bryce Pope,G,6-3,185,Real Estate and Development,R-Sr.,"San Diego, Calif. / Torrey Pines HS"
2007,5,Cade Pendleton,F,6-10,210,International Business,R-Fr.,"Chattanooga, Tenn. / East Hamilton HS"
2007,10,Hayden Gray,G,6-4,190,International Business,Jr.,"San Diego, Calif. / Santa Fe Christian"
2007,11,Jasen Brooks,G,6-0,195,Business Economics,Fr.,"Cleveland, Tenn. / Cleveland HS"
2007,12,Aniwaniwa Tait-Jones,G/F,6-6,200,Communications,Jr.,"Wellington, New Zealand / St. Patrick's College"
2007,13,Tyler  McGhie,G/F,6-5,195,Communications,Jr.,"Denton, Texas / Guyer HS"
2007,14,Billy Haggerty,F,6-6,185,International Business,Fr.,"Lafayette, Calif. / De La Salle HS"
2007,15,Quin Patterson,G/F,6-7,205,,So.,"Snoqualmie, Wash. / Mount Si HS"
2007,20,Aidan Burke,G,6-3,190,Economics,Fr.,"Los Gatos, Calif. / Phillips Exeter Academy"
