Year,JerseyNum,Name,Position,Height,Weight,Major,Class,HomeTownHighSchool
2005,1,McElroy Colin,GK,6-5,,,Sr.,"Solana Beach, CA / Torrey Pines HS"
2005,1,Bryan Corbett,GK,6-2,,,Sr.,"Carmichael, CA / Rio Americano HS"
2005,1,David Miller,GK,6-0,,,Sr.,"Ventura, CA / Ventura HS"
2005,1,Jeremy Randall,GK,6-3,,,Jr.,"Lake Forest, CA / El Toro HS"
2005,2,Chris Finegold,2M,6-6,,,Sr.,"Palo Alto, CA / Palo Alto HS"
2005,3,Chris Eichholz,DRI,6-1,,,Sr.,"Carlsbad, CA / Bonanza HS"
2005,5,Kevin Smoker,2M,6-5,,,Sr.,"Santa Clara, CA / Bellarmine College Prep"
2005,6,Jonathan Hopkins,UTL,6-2,,,Sr.,"Coronado, CA / Coronado HS"
2005,7,Steven Jendrusina,UTL,6-3,,,Sr.,"Newport Beach, CA / Newport Harbor HS"
2005,8,Kyle Sutterly,UTL,6-2,,,Jr.,"Turlock, CA / Turlock HS"
2005,9,Clark Petersen,UTL,6-4,,,Sr.,"San Diego, CA / University City HS"
2005,10,Benjamin Miller,DRI,6-0,,,So.,"Ventura, CA / Ventura HS"
2005,11,Brandon Borso,DRI,6-1,,,Sr.,"Carlsbad, CA / Carlsbad HS"
2005,12,Ty Lackey,UTL,6-2,,,Jr.,"San Diego, CA / Patrick Henry HS"
2005,13,Simon Schafer,2M,6-2,,,So.,"Irvine, CA / Irvine HS"
2005,14,Nicholas Takahashi,DRI,6-2,,,Sr.,"South Pasadena, CA / Loyola HS"
2005,16,Joe Woodring,UTL,6-4,,,Jr.,"Rocklin, CA / Rocklin HS"
2005,17,Travis Boettner,DRI,6-3,,,Sr.,"San Jose, CA / Bellarmine College Prep"
2005,18,Adnan Jerkovic,DRI,6-1,,,So.,"Palm Desert, CA / Palm Desert HS"
2005,19,Curtis Williamson,DRI,6-1,,,So.,"Santa Barbara, CA / Santa Barbara HS"
2005,22,Jesse Casellini,UTL,6-4,,,Jr.,"Santa Clara, CA / Bellarmine College Prep"
2005,,Ian Bausback,UTL,6-2,,,Fr.,"Portola Valley, CA / Sacred Hart Prep"
2005,,Peter Gresham,UTL,6-5,,,Fr.,"Solana Beach, CA / Torrey Pines HS"
2005,,Jeff Hunt,DRI,6-3,,,So.,"San Diego, CA / University City HS"
2005,,Sidd Menon,UTL,5-10,,,So.,"Palo Alto, CA / Gunn HS"
2005,,Sean Roberts,UTL,6-1,,,Fr.,"West Hills, CA / Calabasas HS"
2006,1,Jeremy Randall,GK,6-3,,,Sr.,"Lake Forest, CA / El Toro HS"
2006,2,A.J. Kotanjian,UTL,6-2,,,Jr.,"Whittier, CA / Los Altos HS"
2006,5,Kyle Sutterly,UTL,6-2,,,Sr.,"Turlock, CA / Turlock HS"
2006,7,Sean Roberts,UTL,6-1,,,R-Fr.,"West Hills, CA / Calabasas HS"
2006,8,Sidd Menon,UTL,5-10,,,So.,"Palo Alto, CA / Gunn HS"
2006,9,Adnan Jerkovic,DRI,6-1,,,Jr.,"Palm Desert, CA / Palm Desert HS"
2006,10,Benjamin Miller,DRI,6-0,,,Jr.,"Ventura, CA / Ventura HS"
2006,11,Jeff Hunt,DRI,6-3,,,So.,"San Diego, CA / University City HS"
2006,12,Ty Lackey,2MO,6-2,,,Sr.,"San Diego, CA / Patrick Henry HS"
2006,13,Simon Schafer,2MO,6-2,,,Jr.,"Irvine, CA / Irvine HS"
