Overall Record: 27-6   Conf: 17-3   Home: 15-3   Away: 9-3   Neutral: 3-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Player,,GP-GS,,MIN,,AVG,,FG FG-FGA,,,,FG%,"3PT
3FG-FGA",,,3FG%,FT FT-FTA,FT%,OFF,Rebounds DEF    TOT,,AVG,PF,DQ,A,TO,BLK,STL,PTS,AVG,,
13,"Klie, Adam",,33-33,,1048,,31.8,,188-373,,,,0.504,23-52,,,0.442,111-187,0.594,40,167,207,6.3,94,3,154,74,6,26,510,15.5,,
44,"Hansen, Chris",,31-30,,700,,22.6,,143-283,,,,0.505,18-44,,,0.409,83-95,0.874,59,127,186,6.0,69,0,21,51,22,5,387,12.5,,
14,"Oshita, Christian",,33-33,,868,,26.3,,126-268,,,,0.470,52-123,,,0.423,56-73,0.767,46,139,185,5.6,102,4,34,38,4,11,360,10.9,,
01,"Lipovic, Aleks",,25-18,,537,,21.5,,71-162,,,,0.438,63-145,,,0.434,17-19,0.895,2,40,42,1.7,41,0,40,14,2,10,222,8.9,,
11,"Everman, Scott",,33-5,,623,,18.9,,79-182,,,,0.434,52-133,,,0.391,29-31,0.935,30,58,88,2.7,48,1,18,24,8,13,239,7.2,,
05,"Buaku, George",,33-32,,956,,29.0,,64-139,,,,0.460,17-42,,,0.405,43-56,0.768,9,73,82,2.5,75,2,82,23,5,26,188,5.7,,
10,"Ballestero, Anthony",,33-1,,693,,21.0,,43-121,,,,0.355,39-110,,,0.355,40-44,0.909,1,42,43,1.3,52,1,61,30,0,22,165,5.0,,
22,"Patton, Eric",,9-9,,184,,20.4,,20-42,,,,0.476,3-11,,,0.273,1-6,0.167,18,18,36,4.0,18,0,6,9,2,4,44,4.9,,
24,"Cox, Koree",,13-1,,86,,6.6,,14-40,,,,0.350,11-28,,,0.393,6-8,0.750,1,14,15,1.2,9,0,3,8,0,3,45,3.5,,
33,"Shoemaker, Michael",,32-0,,340,,10.6,,42-94,,,,0.447,8-28,,,0.286,7-13,0.538,26,56,82,2.6,54,1,9,16,10,4,99,3.1,,
15,"Brooks, Joshua",,21-0,,202,,9.6,,21-45,,,,0.467,1-3,,,0.333,17-26,0.654,8,14,22,1.0,21,1,13,16,4,13,60,2.9,,
03,"Rico, Ben",,17-0,,101,,5.9,,8-29,,,,0.276,7-23,,,0.304,7-13,0.538,2,10,12,0.7,7,0,7,1,1,3,30,1.8,,
