"2023 UC San Diego Men's Soccer
Overall Statistics (as of Oct 28, 2023)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Record:                                  Overall          Home           Away          Neutral    ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Games,,,,,,,,,,,,4-11-2003,,,2-6-2001,,,2-5-2002,,,,,0-0,,,,,,,
Conference,,,,,,,,,,,,3-5-2001,,,2-2,,,1-3-2001,,,,,0-0,,,,,,,
Non-Conference,,,,,,,,,,,,1-6-2002,,,0-4-1,,,1-2-2001,,,,,0-0,,,,,,,
Date,,Opponent,,W/L,,Score,,Att.,,#       Player,,,,,,GP,,G,,A,PTS,,SH,SH%,SOG,SOG%,YC-RC,GW,PK-ATT,
8-24-2023,,PACIFIC,,L,,1-2,,138,,"Iribarren, Inaki",,,,,,18,,11,,0,22,,44,0.250,18,0.409,2-0,2,0-0,
8-26-2023,,SAN JOSE STATE,,L,,1-2,,183,,"10     Allen, Alessandro",,,,,,18,,4,,3,11,,24,0.167,11,0.458,0-0,0,3-3,
8-31-2023,,GONZAGA,,T,,1-1,,127,,"23     Carvalho, Max",,,,,,18,,4,,3,11,,30,0.133,17,0.567,0-0,2,0-1,
9-3-2023,,WESTCLIFF,,L,,1-2,,127,,Team,,,,,,2,,2,,0,4,,0,0.000,0,0.000,0-0,0,0-0,
9-8-2023,,at  Denver,,L,,0-4,,593,,"9       Arens, Brian",,,,,,17,,1,,1,3,,9,0.111,5,0.556,3-0,0,0-0,
9-10-2023,,at  Air Force,,W,,2-0,,83,,"24     Jacobus, Carter",,,,,,18,,1,,1,3,,5,0.200,2,0.400,0-0,0,0-0,
9-14-2023,,at  Santa Clara,,T,,2-2,,601,,"17     Kim, Alan",,,,,,13,,1,,1,3,,9,0.111,3,0.333,2-0,0,0-0,
9-20-2023,,at  San Diego,,L,,1-2,,451,,"32     Redington, James",,,,,,17,,0,,3,3,,4,0.000,3,0.750,3-0,0,0-0,
9-23-2023,,UTAH TECH,,L,,1-2,,343,,"7       Valverde, Andrew",,,,,,18,,0,,3,3,,19,0.000,6,0.316,0-0,0,0-0,
9-27-2023,,UC SANTA BARBARA,,W,,3-0,,472,,"8       Hagan, Jack",,,,,,16,,0,,2,2,,7,0.000,2,0.286,1-0,0,0-0,
9-30-2023,,at  Sacramento St.,,T,,0-0,,640,,"20     Gibson, Asa",,,,,,14,,0,,1,1,,4,0.000,3,0.750,2-1,0,0-0,
10-4-2023,,CAL ST. FULLERTON,,L,,1-4,,603,,"31     McGee, Andrew",,,,,,11,,0,,1,1,,5,0.000,1,0.200,0-0,0,0-0,
,,,,,,,,108,,"22     Place, Connor",,,,,,17,,0,,1,1,,6,0.000,0,0.000,2-0,0,0-0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,"Kawamura, Jonah",,18,,0,,0,0,12,,0.000,,4,0.333,,3-0,0,,0-0,,,,,,,,,,,
5,"Lin, Matthew",,10,,0,,0,0,1,,0.000,,1,1.000,,2-0,0,,0-0,,,,,,,,,,,
14,"McDonnell, Sean",,18,,0,,0,0,0,,0.000,,0,0.000,,1-0,0,,0-0,,,,,,,,,,,
,"Shor, Nicholas",,5,,0,,0,0,0,,0.000,,0,0.000,,0-0,0,,0-0,,,,,,,,,,,
4,"Walker, Adam",,15,,0,,0,0,1,,0.000,,0,0.000,,2-0,0,,0-0,,,,,,,,,,,
2,"Wellerstein, Evan",,18,,0,,0,0,15,,0.000,,5,0.333,,4-0,0,,0-0,,,,,,,,,,,
30,"Wilson, Mitchell",,14,,0,,0,0,0,,0.000,,0,0.000,,0-0,0,,0-0,,,,,,,,,,,
,Total,,18,,24,,20,68,195,,0.123,,81,0.415,,28-1,4,,3-4,,,,,,,,,,,
,Opponent,,18,,33,,33,99,233,,0.142,,92,0.395,,35-1,11,,1-2,,,,,,,,,,,
10-8-2023,,at  Cal Poly,,L,,,1-3,2,,,,,,,,,,,,,,,,,,,,,,
10-11-2023,,at  UC Riverside,,W,,,5-2,327,,,,,,,,,,,,,,,,,,,,,,
10-14-2023,,CSU BAKERSFIELD,,W,,,1-0,370,,,,,,,,,,,,,,,,,,,,,,
10-18-2023,,at  CSUN,,L,,,1-2,410,,,,,,,,,,,,,,,,,,,,,,
10-21-2023,,UC DAVIS,,L,,,1-2,825,,,,,,,,,,,,,,,,,,,,,,
10-28-2023,,at  UC Irvine,,L,,,1-3,903,,,,,,,,,,,,,,,,,,,,,,
"Team Statistics                                     UCSD            OPP
SHOT STATISTICS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goals-Shot Att.,,,,24-195,,,33-233,,,,,,,,,,,,,,,,,,,,,,,
Goals Per Game,,,,1.33,,,1.83,,,,,,,,,,,,,,,,,,,,,,,
Shot Pct.,,,,0.123,,,0.142,,,,,,,,,,,,,,,,,,,,,,,
Shots on Goal-Att.,,,,81-195,,,92-233,,,,,,,,,,,,,,,,,,,,,,,
SOG Pct.,,,,0.415,,,0.395,,,,,,,,,,,,,,,,,,,,,,,
Shots/Game,,,,10.8,,,12.9,,,,,,,,,,,,,,,,,,,,,,,
#,Goalie,,GP,,MIN,,,,GA,,GAA,,SAVE,PCT,,W-L-T,,,SHO,,,,,,,,,,,
1,"Shor, Nick",,5,,384:01,,,,6,,1.41,,12,0.667,,1-2-2001,,,1/0,,,,,,,,,,,
30,"Wilson, Mitchell",,14,,1235:59,,,,27,,1.97,,47,0.635,,3-9-2002,,,3/0,,,,,,,,,,,
